vehicle_id;incident_id;Unit Description
747770;606017;MOTOR VEHICLE
747771;606017;MOTOR VEHICLE
747772;606019;MOTOR VEHICLE
747774;606019;MOTOR VEHICLE
747775;606022;MOTOR VEHICLE
747776;606022;MOTOR VEHICLE
747777;606024;MOTOR VEHICLE
747779;606024;MOTOR VEHICLE
747781;606028;MOTOR VEHICLE
747783;606028;MOTOR VEHICLE
747788;606035;MOTOR VEHICLE
747789;606035;MOTOR VEHICLE
747790;606037;MOTOR VEHICLE
747792;606037;MOTOR VEHICLE
747793;606040;MOTOR VEHICLE
747794;606041;MOTOR VEHICLE
747795;606041;MOTOR VEHICLE
747796;606043;MOTOR VEHICLE
747797;606043;MOTOR VEHICLE
747798;606045;MOTOR VEHICLE
747799;606045;MOTOR VEHICLE
747800;606045;MOTOR VEHICLE
747801;606045;MOTOR VEHICLE
747802;606045;MOTOR VEHICLE
747803;606050;MOTOR VEHICLE
747804;606050;MOTOR VEHICLE
747805;606052;MOTOR VEHICLE
747806;606052;MOTOR VEHICLE
747807;606054;MOTOR VEHICLE
747808;606054;MOTOR VEHICLE
747809;606056;MOTOR VEHICLE
747810;606056;MOTOR VEHICLE
747811;606056;MOTOR VEHICLE
747812;606056;MOTOR VEHICLE
747813;606060;MOTOR VEHICLE
747814;606060;MOTOR VEHICLE
747815;606062;MOTOR VEHICLE
747816;606062;MOTOR VEHICLE
747817;606064;MOTOR VEHICLE
747819;606064;MOTOR VEHICLE
747820;606064;MOTOR VEHICLE
747821;606068;MOTOR VEHICLE
747822;606068;MOTOR VEHICLE
747823;606070;MOTOR VEHICLE
747826;606070;MOTOR VEHICLE
747827;606074;MOTOR VEHICLE
747828;606074;MOTOR VEHICLE
747829;606076;MOTOR VEHICLE
747832;606076;MOTOR VEHICLE
747833;606080;MOTOR VEHICLE
747834;606080;MOTOR VEHICLE
747836;606083;MOTOR VEHICLE
747837;606083;MOTOR VEHICLE
747838;606085;MOTOR VEHICLE
747839;606085;MOTOR VEHICLE
747840;606087;MOTOR VEHICLE
747841;606087;MOTOR VEHICLE
747843;606090;MOTOR VEHICLE
747844;606091;MOTOR VEHICLE
747845;606091;MOTOR VEHICLE
747846;606093;MOTOR VEHICLE
747848;606093;MOTOR VEHICLE
747851;606098;MOTOR VEHICLE
747852;606099;MOTOR VEHICLE
747853;606099;MOTOR VEHICLE
747854;606101;MOTOR VEHICLE
747856;606101;MOTOR VEHICLE
747857;606104;MOTOR VEHICLE
747858;606104;MOTOR VEHICLE
747859;606106;MOTOR VEHICLE
747860;606106;MOTOR VEHICLE
747862;606109;MOTOR VEHICLE
747863;606109;MOTOR VEHICLE
747864;606111;MOTOR VEHICLE
747865;606111;MOTOR VEHICLE
747866;606111;MOTOR VEHICLE
747867;606114;MOTOR VEHICLE
747868;606114;MOTOR VEHICLE
747873;606120;MOTOR VEHICLE
747875;606120;MOTOR VEHICLE
747876;606123;MOTOR VEHICLE
747877;606123;MOTOR VEHICLE
